Date,Series_title_1,Data_value
2024-09-01,"Coffee - instant, 100g",7.13
2024-03-01,"Tea bags (supermarket only), box of 100",5.83
2024-04-01,"Tea bags (supermarket only), box of 100",5.82
2024-05-01,"Tea bags (supermarket only), box of 100",5.75
2024-06-01,"Tea bags (supermarket only), box of 100",5.83
2024-07-01,"Tea bags (supermarket only), box of 100",5.84
2024-08-01,"Tea bags (supermarket only), box of 100",5.86
2024-09-01,"Tea bags (supermarket only), box of 100",5.79
2024-03-01,"Soft drink, 1.5 litres",3.17
2024-04-01,"Soft drink, 1.5 litres",3.18
2024-05-01,"Soft drink, 1.5 litres",3.32
2024-06-01,"Soft drink, 1.5 litres",3.59
2024-07-01,"Soft drink, 1.5 litres",3.5
2024-08-01,"Soft drink, 1.5 litres",3.41
2024-09-01,"Soft drink, 1.5 litres",3.4
2024-03-01,"Bottled water, 750ml",2.33
2024-04-01,"Bottled water, 750ml",2.37
2024-05-01,"Bottled water, 750ml",2.4
2024-06-01,"Bottled water, 750ml",2.38
2024-07-01,"Bottled water, 750ml",2.39
2024-08-01,"Bottled water, 750ml",2.39
2024-09-01,"Bottled water, 750ml",2.42
2024-03-01,"Fish and chips, One fish/chips",10.41
2024-04-01,"Fish and chips, One fish/chips",10.49
2024-05-01,"Fish and chips, One fish/chips",10.49
2024-06-01,"Fish and chips, One fish/chips",10.54
2024-07-01,"Fish and chips, One fish/chips",10.57
2024-08-01,"Fish and chips, One fish/chips",10.59
2024-09-01,"Fish and chips, One fish/chips",10.59
2024-03-01,"Meat pie - hot, each",6.0
2024-04-01,"Meat pie - hot, each",6.03
2024-05-01,"Meat pie - hot, each",6.08
2024-06-01,"Meat pie - hot, each",6.08
2024-07-01,"Meat pie - hot, each",6.1
2024-08-01,"Meat pie - hot, each",6.11
2024-09-01,"Meat pie - hot, each",6.05
2024-03-01,"Fruit juice - apple based (supermarket only), 3 litre",5.56
2024-04-01,"Fruit juice - apple based (supermarket only), 3 litre",5.53
2024-05-01,"Fruit juice - apple based (supermarket only), 3 litre",5.85
2024-06-01,"Fruit juice - apple based (supermarket only), 3 litre",5.58
2024-07-01,"Fruit juice - apple based (supermarket only), 3 litre",5.89
2024-08-01,"Fruit juice - apple based (supermarket only), 3 litre",5.53
2024-09-01,"Fruit juice - apple based (supermarket only), 3 litre",5.14
2024-03-01,"Potato crisps, 150g",2.22
2024-04-01,"Potato crisps, 150g",2.32
2024-05-01,"Potato crisps, 150g",2.25
2024-06-01,"Potato crisps, 150g",2.3
2024-07-01,"Potato crisps, 150g",2.24
2024-08-01,"Potato crisps, 150g",2.23
2024-09-01,"Potato crisps, 150g",2.26
2024-03-01,"Tomato sauce - canned, 560g",3.86
2024-04-01,"Tomato sauce - canned, 560g",3.84
2024-05-01,"Tomato sauce - canned, 560g",3.89
2024-06-01,"Tomato sauce - canned, 560g",3.98
2024-07-01,"Tomato sauce - canned, 560g",3.84
2024-08-01,"Tomato sauce - canned, 560g",3.8
2024-09-01,"Tomato sauce - canned, 560g",3.87
2024-03-01,"Bacon - middle rashers (supermarket only), 700g",15.43
2024-04-01,"Bacon - middle rashers (supermarket only), 700g",15.64
2024-05-01,"Bacon - middle rashers (supermarket only), 700g",15.86
2024-06-01,"Bacon - middle rashers (supermarket only), 700g",15.87
2024-07-01,"Bacon - middle rashers (supermarket only), 700g",15.43
2024-08-01,"Bacon - middle rashers (supermarket only), 700g",15.41
2024-09-01,"Bacon - middle rashers (supermarket only), 700g",15.63
2024-03-01,"Chicken breast, 1kg",16.02
2024-04-01,"Chicken breast, 1kg",15.94
2024-05-01,"Chicken breast, 1kg",15.92
2024-06-01,"Chicken breast, 1kg",15.29
2024-07-01,"Chicken breast, 1kg",15.39
2024-08-01,"Chicken breast, 1kg",15.7
2024-09-01,"Chicken breast, 1kg",15.65
2024-03-01,"Bread - white sliced loaf, 600g",1.39
2024-04-01,"Bread - white sliced loaf, 600g",1.39
2024-05-01,"Bread - white sliced loaf, 600g",1.39
2024-06-01,"Bread - white sliced loaf, 600g",1.39
2024-07-01,"Bread - white sliced loaf, 600g",1.4
2024-08-01,"Bread - white sliced loaf, 600g",1.39
2024-09-01,"Bread - white sliced loaf, 600g",1.39
2024-03-01,"Apricots, dried, 100g",3.28
2024-04-01,"Apricots, dried, 100g",3.28
2024-05-01,"Apricots, dried, 100g",3.24
2024-06-01,"Apricots, dried, 100g",3.31
2024-07-01,"Apricots, dried, 100g",3.3
2024-08-01,"Apricots, dried, 100g",3.29
2024-09-01,"Apricots, dried, 100g",3.36
2024-03-01,"Avocado, 1kg",8.21
2024-04-01,"Avocado, 1kg",13.15
2024-05-01,"Avocado, 1kg",14.83
2024-06-01,"Avocado, 1kg",10.52
2024-07-01,"Avocado, 1kg",7.85
2024-08-01,"Avocado, 1kg",6.9
2024-09-01,"Avocado, 1kg",6.74
2024-03-01,"Baby food, 110g",1.34
2024-04-01,"Baby food, 110g",1.32
2024-05-01,"Baby food, 110g",1.32
2024-06-01,"Baby food, 110g",1.32
2024-07-01,"Baby food, 110g",1.32
2024-08-01,"Baby food, 110g",1.35
2024-09-01,"Baby food, 110g",1.32
2024-03-01,"Beans, 1kg",13.19
2024-04-01,"Beans, 1kg",16.92
2024-05-01,"Beans, 1kg",17.59
2024-06-01,"Beans, 1kg",16.69
2024-07-01,"Beans, 1kg",16.53
2024-08-01,"Beans, 1kg",20.58
2024-09-01,"Beans, 1kg",19.51
2024-03-01,"Bread rolls, filled, hot, each",9.26
2024-04-01,"Bread rolls, filled, hot, each",9.31
2024-05-01,"Bread rolls, filled, hot, each",9.33
2024-06-01,"Bread rolls, filled, hot, each",9.33
2024-07-01,"Bread rolls, filled, hot, each",9.34
2024-08-01,"Bread rolls, filled, hot, each",9.36
2024-09-01,"Bread rolls, filled, hot, each",9.36
2024-03-01,"Bread rolls, hamburger buns, 6 pack",4.08
2024-04-01,"Bread rolls, hamburger buns, 6 pack",4.11
2024-05-01,"Bread rolls, hamburger buns, 6 pack",4.1
2024-06-01,"Bread rolls, hamburger buns, 6 pack",4.16
2024-07-01,"Bread rolls, hamburger buns, 6 pack",4.16
2024-08-01,"Bread rolls, hamburger buns, 6 pack",4.17
2024-09-01,"Bread rolls, hamburger buns, 6 pack",4.2
2024-03-01,"Breakfast drink, 250ml, 6 pack",8.67
2024-04-01,"Breakfast drink, 250ml, 6 pack",9.15
2024-05-01,"Breakfast drink, 250ml, 6 pack",9.1
2024-06-01,"Breakfast drink, 250ml, 6 pack",9.15
2024-07-01,"Breakfast drink, 250ml, 6 pack",9.02
2024-08-01,"Breakfast drink, 250ml, 6 pack",9.16
2024-09-01,"Breakfast drink, 250ml, 6 pack",9.13
2024-03-01,"Burger, with or without accompaniments, each",7.04
2024-04-01,"Burger, with or without accompaniments, each",7.28
2024-05-01,"Burger, with or without accompaniments, each",7.1
2024-06-01,"Burger, with or without accompaniments, each",7.12
2024-07-01,"Burger, with or without accompaniments, each",7.14
2024-08-01,"Burger, with or without accompaniments, each",7.15
2024-09-01,"Burger, with or without accompaniments, each",7.18
2024-03-01,"Soup, canned, 500g",4.15
2024-04-01,"Soup, canned, 500g",4.18
2024-05-01,"Soup, canned, 500g",3.83
2024-06-01,"Soup, canned, 500g",3.63
2024-07-01,"Soup, canned, 500g",3.69
2024-08-01,"Soup, canned, 500g",3.54
2024-09-01,"Soup, canned, 500g",3.82
2024-03-01,"Capsicums, green, else red, 1kg",15.09
2024-04-01,"Capsicums, green, else red, 1kg",15.9
2024-05-01,"Capsicums, green, else red, 1kg",20.87
2024-06-01,"Capsicums, green, else red, 1kg",23.87
2024-07-01,"Capsicums, green, else red, 1kg",25.88
2024-08-01,"Capsicums, green, else red, 1kg",25.74
2024-09-01,"Capsicums, green, else red, 1kg",23.35
2024-03-01,"Cauliflower, 1kg",4.7
2024-04-01,"Cauliflower, 1kg",3.96
2024-05-01,"Cauliflower, 1kg",3.43
2024-06-01,"Cauliflower, 1kg",3.29
2024-07-01,"Cauliflower, 1kg",3.0
2024-08-01,"Cauliflower, 1kg",2.7
2024-09-01,"Cauliflower, 1kg",2.84
2024-03-01,"Celery, 1kg",2.77
2024-04-01,"Celery, 1kg",2.56
2024-05-01,"Celery, 1kg",2.38
2024-06-01,"Celery, 1kg",2.09
2024-07-01,"Celery, 1kg",2.29
2024-08-01,"Celery, 1kg",1.88
2024-09-01,"Celery, 1kg",1.92
2024-03-01,"Cheese, camembert, 125g",5.55
2024-04-01,"Cheese, camembert, 125g",5.72
2024-05-01,"Cheese, camembert, 125g",5.76
2024-06-01,"Cheese, camembert, 125g",5.63
2024-07-01,"Cheese, camembert, 125g",5.7
2024-08-01,"Cheese, camembert, 125g",5.95
2024-09-01,"Cheese, camembert, 125g",6.06
2024-03-01,"Cheese, processed slices, 250g",4.88
2024-04-01,"Cheese, processed slices, 250g",4.94
2024-05-01,"Cheese, processed slices, 250g",4.81
2024-06-01,"Cheese, processed slices, 250g",4.75
2024-07-01,"Cheese, processed slices, 250g",4.77
2024-08-01,"Cheese, processed slices, 250g",4.69
2024-09-01,"Cheese, processed slices, 250g",4.83
2024-03-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",14.9
2024-04-01,"Chicken, cooked, whole, No. 15 - Cheapest Available",14.78
